,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
1129,20,400.612376186685,370.060562067564,591.304482149666,335.124943754751,334.552276193938,352.130808560919,325.185660311474,318.394019874707,214.484398923992,312.55571348729944
1130,21,364.95030763045,375.081341595342,436.912558012878,293.680793632831,293.059565504819,317.774430888136,276.42985584404,332.545578315248,282.085882125983,119.19558897513487
1131,22,62.7657617933085,61.2754563808051,203.734948217969,64.8977684810892,64.9453116052242,61.3185303716828,63.9124909904998,62.1647713381433,77.5099432638802,120.29575627639645
1132,23,93.911801056976,91.9519058884751,144.657617206055,59.2145015858743,59.0162419718648,76.4624916069365,65.2671149374432,101.13094791101,78.8213145646239,110.586943504492
1133,24,66.7579531330614,66.3208108410534,116.273194420232,56.9766764451923,56.6498555723002,55.8685555163015,41.7404559070896,48.3033256677305,37.57159110107,96.4436203927447
1134,25,17.4277100009991,18.4749920836454,34.8272096845746,17.279613242222,17.3952995140615,17.3458663392118,27.0543650268701,17.0724662626371,17.0727332141402,65.44182515562775
1135,26,19.9910320233499,43.7942161900424,38.7921068341034,20.2670334385995,20.4496801996311,20.3927069369016,24.7424658067496,23.5740124522196,20.4823858878377,99.19409836009127
1136,27,31.6919336557887,31.3487377699911,66.0987159787005,40.7501826050081,41.0522384962593,39.389552388073,55.8374194387461,36.7199429735184,39.6248475705205,65.03685039510495
1137,28,497.389261109706,570.704772379995,607.472860084954,427.166039821118,426.283348544212,457.98090571003,425.797161528015,436.629805035564,389.515615520784,267.8574558206643
1138,29,113.064729623535,113.064729620324,215.967955435926,156.305364783294,156.739218308897,130.75194306958,138.844869966428,159.241599492361,185.130917037538,109.9547612030672
1139,30,22.9196287493541,22.9196287380005,46.4639847240434,27.5597458103135,27.9185427486889,20.5963066014557,21.6835630257057,20.875193252424,20.7842048444048,81.55561863663581
1140,31,57.1763565729336,57.1763565661343,101.057071147375,48.0336310369379,47.7480083752145,51.6845707536994,45.1075921152737,51.9127821902631,44.0086923353312,58.15310473387108
1141,32,39.2002234627077,47.0970383276171,58.6480253362925,29.9112292305505,29.473476096575,32.5398301414311,21.8637172852046,36.5886988029179,31.2775364869889,74.61908244983121
1142,33,28.4532644116629,17.2857265850844,52.5743777195763,34.6956654094454,35.2117802350739,30.2491061229995,45.3877480495015,30.1426033114195,35.0340658357915,66.87693834938058
1143,34,61.3734414929504,95.375133634046,151.10166305419,64.2155174594755,63.6606906907899,68.3014819770045,51.4674779956001,63.9474607560075,57.0372047385915,132.89328813073075
1144,35,16.4192037611041,14.6846952235676,23.8933544456969,14.6314469486057,14.6300682807902,14.8251874102605,29.173812963897,14.802742077232,14.5286986186006,50.83373362191041
1145,36,470.951169461452,470.951169461452,563.599583959418,374.360712860015,374.054029394069,430.61305627113,419.083796186041,416.908633446226,346.440443826713,167.39631758003608
1146,37,23.3773481377213,23.3773481377213,57.7391753828424,62.7042271883877,62.8947833834269,31.539805141987,36.240544669725,26.1428789540745,30.1539758800902,74.51505859366377
1147,38,43.7205796423422,43.7205796423422,74.5113150111306,35.295388221339,35.3172546239052,34.236115504231,32.7554123492372,33.8484563365192,32.1311040813658,81.94485658435991
1148,39,593.540878526668,593.540878526668,675.534424716603,503.289721793734,503.041807865999,558.943072907088,547.526300934916,525.886596061625,467.265728743802,182.79844973265395
1149,40,87.0730471259262,87.0730471259262,146.296285597394,40.276465450212,40.2769130170489,67.9483173101982,62.5877917513552,66.7250198573712,54.4283962480718,102.24419133425789
1150,41,100.509818197256,100.509818197256,113.951101422365,63.8674237684261,63.7457487472586,76.0603837439471,66.9024284004596,99.2728697135483,86.7015264688286,91.24556277164871
1151,42,18.7143814634999,18.7143814634999,46.0859884992131,39.0271929801438,39.1229951643452,29.5833285483832,36.4529722442523,22.9848060853637,24.5978092037528,27.246604472833667
1152,43,45.0746819384899,45.0746819384899,101.276313286606,79.0685624178549,79.210938159209,66.3183178727776,75.863739812029,46.2757432844883,54.7884662142028,67.11153291087375
1153,44,152.508985272715,152.508985272715,162.986652655705,109.418137952648,109.26628378921,124.557071189084,113.486141105675,140.421759702302,126.00134168419,85.69188322747486
1154,45,30.19131118788,30.19131118788,76.4057281264236,51.5153094252618,51.5949559186808,41.8350448042669,47.3740279604685,40.6470858431548,49.3607270210384,79.3991613812162
1155,46,31.8505145842911,31.8505145842911,79.1883384770326,61.0124522554921,61.1088025957172,48.7539269191279,55.8482530322849,39.4137907136658,53.0615156276558,71.26073736039245
1156,47,24.6922000957735,24.6922000957735,34.5946982909237,22.0583262544864,22.105035519734,20.0363988303044,20.9367381095918,19.9216934005687,20.1522621849575,43.44454345592828
1157,48,10.7135431702881,10.7135431702881,21.6435147461704,24.178661928444,24.2950904283449,14.0276342377468,19.7089829121614,10.3954917884145,9.30398208850689,39.51801881023352
1158,49,114.534565325669,114.534565325669,139.233921890938,31.5361210643545,31.4214817370185,86.7248204530851,78.1431173105316,83.3637594497296,74.4408918737207,66.83112600397328
1159,50,106.526583447068,106.526583447068,198.437165585941,92.5352275289294,92.4596752109633,96.4729013609529,90.5355374527986,87.8524898898179,65.6546189117931,141.64970669934414
1160,51,40.8029543125237,40.8029543125237,85.980686910561,55.169570955973,55.3020728006654,50.4820001002159,57.7153111371491,48.7451698358515,59.8206176864263,131.51828909620227
1161,52,24.9391496351189,24.9391496351189,28.5254691775011,19.4727222294285,19.4305215524595,20.382394526737,19.1973465632238,20.7961533558589,19.7672952041759,58.65690224327468
1162,53,32.9688067887829,32.9688067887829,70.5241515073448,27.7649891061541,27.7181644013167,30.6484396484045,28.021207053524,31.064984651538,26.3354576123979,66.9882453732001
1163,54,13.7206272759661,13.7206272759661,18.2754447294467,13.0757492305734,13.0900610356955,13.3732651478482,15.0772199172734,13.5782011336675,14.4942379173679,42.43547555353751
1164,55,30.5620575896047,30.5620575896047,53.2761663998896,29.1789813040586,29.2585294308451,30.1840785447454,36.6021171412137,34.7484051708902,39.4252258770852,44.93163480751277
1165,56,20.9490584199714,20.9490584199714,39.2613094265885,21.3685919848791,21.3867392856518,21.0464277472059,20.6317300739552,21.6730041576512,20.9017011605721,44.23266174850853
